name,datatype,nullable
patientname,string,True
accountnumber,string,True
medicalrecordnumber,string,True
nationalprovideridentifier,string,True
admitdate,date,False
dischargedate,date,False
birthdate,date,False
ageinyears,integer,False
sex,string,False
typeofbill,string,True
conditioncode,string,True
dischargestatus,integer,False
userkey1,string,False
userkey2,string,False
totalcharges,float,True
principaldiagnosis,string,False
secondarydiagnosis,string,False
reasonforvisitdiagnosis,string,True
procedurehcpcs,string,False
itemmodifier1,string,True
itemmodifier2,string,True
itemmodifier3,string,True
itemmodifier4,string,True
itemmodifier5,string,True
itemrevenuecode,string,True
itemunitsofservice,string,True
itemcharges,string,True
itemservicedate,string,True
itemactionflag,string,True
occurrencecode,string,True
occurrencecodedate,string,True
itemprofessionalserviceflag,string,True
icdversionqualifier,integer,True
principaldiagnosispoa,string,True
secondarydiagnosispoa,string,True
valuecode,string,True
valuecodeamount,string,True
admitpriority,integer,True
itemnoncoveredcharges,string,True
filler_formerlypointoforigin,string,True
providerzipcode,integer,True
itemndccode,string,True
userdefinednumberofvisits,integer,True
operatingphysician,string,True
patientid,string,False
externalcauseofinjurydiagnosis,string,True
externalcauseofinjurydiagnosispoa,string,True
drugcharges,float,True
observationcharges,float,True
observationunits,integer,True
supplycharges,float,True
claimtype,string,False
financialpayer,integer,False
memberbenefitplan,integer,False
itemcostshare,string,True
itemplaceofservice,string,True
